"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 24,880.-","Volkswagen ID.4 PRO LM19 NAVI-PRO APP-CONNECT PDC+","57,718 km","11/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-lm19-navi-pro-app-connect-pdc-electric-grey-4f7ada9d-4cb2-41ca-91db-a5444d677c3c","2024-12-17"
"€ 30,980.-","Volkswagen ID.4 Pro Performance 150 kW+WÄRMEPUMPE+AHK","34,600 km","07/2022","auto:mobil GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-waermepumpe-ahk-electric-grey-e5fe1da6-96b3-47ed-a95b-3a8647e0a5f3","2024-12-17"
"€ 25,155.-","Volkswagen ID.4 Pure Performance NaviPro ACC SHZ","43,600 km","03/2022","Walter Schneider GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-navipro-acc-shz-electric-grey-65b23378-3bc8-43d7-a3ec-a66245e6f624","2024-12-17"
"€ 23,850.-","Volkswagen ID.4 PURE LM18 WÄRMEPUMPE NAVI-PRO SITZH ACC","26,595 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-lm18-waermepumpe-navi-pro-sitzh-acc-electric-grey-d30a5a31-2af8-40b4-afc2-4f5fab867490","2024-12-17"
"€ 31,300.-","Volkswagen ID.4 PRO PERFORMANCE 77 KWH AUTOMATIK (+ACC-RADAR+","34,000 km","03/2022","Autohaus Härtel GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-77-kwh-automatik-acc-radar-electric-grey-b49140cf-ed5e-4779-bcb5-3ee9a9e49029","2024-12-17"
"€ 22,450.-","Volkswagen ID.4 PURE LM19 NAVI-PRO APP-CONNECT PDC+","39,734 km","11/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-lm19-navi-pro-app-connect-pdc-electric-grey-d25fe148-d4c5-490a-ab53-b9a14f7de404","2024-12-17"
"€ 38,990.-","Volkswagen ID.4 PRO PERFORMANCE 204PS NP.63T ACC.5J-G.AHK.KAMERA.N","24,390 km","09/2023","Autohaus Ostermaier GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-204ps-np-63t-acc-5j-g-ahk-kamera-n-electric-white-7e6b5112-7968-417c-a501-42e90f868486","2024-12-17"
"€ 42,250.-","Volkswagen ID.4 GTX 4Motion +IQ.LIGHT+REAR VIEW+AHK+ Navi LED","10,000 km","06/2023","Autohaus Morrkopf GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-iq-light-rear-view-ahk-navi-led-electric-black-a23be6e7-9077-480f-bc83-e821ea033f75","2024-12-17"
"€ 25,980.-","Volkswagen ID.4 Pure City LED Navi AHK ACC 19"" Ganzj.reifen","57,662 km","10/2021","Knubel GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-city-led-navi-ahk-acc-19-ganzj-reifen-electric-blue-4935d9e2-c3e2-4ec0-9462-c93942988808","2024-12-17"
"€ 33,470.-","Volkswagen ID.4 Pro Performance +WÄRMEPUMPE+CCS+AHK+KAMERA+","21,846 km","08/2023","Peter Grampp GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waermepumpe-ccs-ahk-kamera-electric-grey-d04a9056-e403-4cac-bf0a-0bc01b58e87d","2024-12-17"
"€ 24,850.-","Volkswagen ID.4 Pure NAVI LED ACC PDC SPURH KLIMAA AUT","20,749 km","09/2022","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-led-acc-pdc-spurh-klimaa-aut-electric-grey-677d8a6c-7362-4c63-87e5-0d177e063188","2024-12-17"
"€ 23,940.-","Volkswagen ID.4 Pure NAVI LED ACC PDC SPURH AUT","20,039 km","09/2022","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-led-acc-pdc-spurh-aut-electric-grey-a2df17dd-dbc4-4075-8693-b8615b085333","2024-12-17"
"€ 44,990.-","Volkswagen ID.4 Pro 4Motion mit Infotainment-Paket AHK Navi","50 km","06/2024","Autohaus Kornkoog GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-4motion-mit-infotainment-paket-ahk-navi-electric-white-f70c5799-592e-49b1-9269-b319e87979fe","2024-12-17"
"€ 34,980.-","Volkswagen ID.4 Pro Performance","11,161 km","10/2023","Schröder-Team-Verl GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-electric-blue-ed5a25f0-c645-4bae-84fd-042e1d072f77","2024-12-17"
"€ 29,480.-","Volkswagen ID.4 Pro Performance Matrix/NAV/ACC/SH","28,630 km","12/2021","Fischer Automobile Amberg GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-matrix-nav-acc-sh-electric-grey-bfd0e370-bdba-4f37-9330-1f92de78d6dd","2024-12-17"
"€ 28,410.-","Volkswagen ID.4 Pro Performance FAHRSCHULWAGEN NAVI AHK","46,684 km","03/2022","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-fahrschulwagen-navi-ahk-electric-blue-1016dda5-2f66-43b1-8041-a66406188d65","2024-12-17"
"€ 29,450.-","Volkswagen ID.4 Pro Performance NAVI LED ACC PDC SPURH SHZ","29,948 km","03/2022","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-acc-pdc-spurh-shz-electric-white-8c022729-37c4-4b50-85a4-355a6b8b0e96","2024-12-17"
"€ 41,970.-","Volkswagen ID.4 GTX 4M *WÄRME*PANO*IQ-L*AHK**NAVI*ACC*HdUp*","27,500 km","08/2023","Auto Singer GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4m-waerme-pano-iq-l-ahk-navi-acc-hdup-electric-black-69288885-f9ff-4570-a4f3-bcd18dbe2af2","2024-12-17"
"€ 24,680.-","Volkswagen ID.4 109 kW Pure *NAVI*Winterpaket*SHZ*PDC*LED","32,169 km","11/2021","NEUWAGENCENTER MAGDEBURG","https://www.autoscout24.com/offers/volkswagen-id-4-109-kw-pure-navi-winterpaket-shz-pdc-led-electric-grey-0488aea9-0ab4-49e1-8d5c-76f81cc72517","2024-12-17"
"€ 23,430.-","Volkswagen ID.4 PURE NAVI PDC LED","31,774 km","10/2022","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-pdc-led-electric-grey-e692687e-3146-467f-8402-a6ad6072f6fa","2024-12-17"
"€ 22,950.-","Volkswagen ID.4 PURE FAHRSCHULAUSSTATTUNG KAMERA NAVI+","31,707 km","06/2022","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-fahrschulausstattung-kamera-navi-electric-black-c012a095-855c-4d08-8662-48c11b5b9106","2024-12-17"
"€ 31,190.-","Volkswagen ID.4 Pro Performance *AHK*KEYLESS*PANO*","49,818 km","06/2021","Autohaus Marnet GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-keyless-pano-electric-silver-7ce4443a-ff97-4fbf-97dc-89d1122c6bb8","2024-12-17"
"€ 27,912.-","Volkswagen ID.4 Pro 1st Max WÄRMEPUMPE PANORAMA AHK HEAD-UP KEY...","87,945 km","07/2021","WH Autozentrum","https://www.autoscout24.com/offers/volkswagen-id-4-pro-1st-max-waermepumpe-panorama-ahk-head-up-key-electric-yellow-289e7297-bcd1-44f4-a8d2-8ac90a571dc8","2024-12-17"
"€ 26,350.-","Volkswagen ID.4 PURE LM19 AHK SITZH NAVI-PRO ACC 125kW","34,697 km","09/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-lm19-ahk-sitzh-navi-pro-acc-125kw-electric-grey-afd8a30e-2e90-4431-b5be-962a15f06524","2024-12-17"
"€ 25,440.-","Volkswagen ID.4 Pure LED NAV SHZ RearView ParkAssist AppCon","23,087 km","05/2022","Autohaus Steinböhmer GmbH & Co KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-led-nav-shz-rearview-parkassist-appcon-electric-grey-bf9dac89-c9f5-484e-8564-64d4ffb8b159","2024-12-17"
"€ 35,990.-","Volkswagen ID.4 Pro Performance +WÄRMEPUMPE+CCS+MATRIX+KAME","13,465 km","12/2023","Peter Grampp GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waermepumpe-ccs-matrix-kame-electric-grey-738e7803-e642-435e-bf44-6c087a06d1c2","2024-12-17"
"€ 37,990.-","Volkswagen ID.4 Pro Performance Navi LED AHK","14,000 km","03/2023","Koch-BAG-Auto-GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-ahk-electric-black-e127adde-0734-4bb0-9654-7d2ab1f62373","2024-12-17"
